otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
otu3224,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. J-13-3
otu3225,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Verrucosispora,Verrucosispora sp. MS100047
otu3226,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter coccineus
otu3227,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,Halobacillus mangrovi
otu3228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus
otu3229,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda lutaonensis
otu3230,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,Unclassified.Planctopirus
otu3231,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces viridosporus
otu3232,Bacteria,Deinococcus-Thermus,Unclassified.Deinococcus-Thermus,Unclassified.Deinococcus-Thermus,Unclassified.Deinococcus-Thermus,Unclassified.Deinococcus-Thermus,Unclassified.Deinococcus-Thermus
otu3233,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Geosporobacter,Unclassified.Geosporobacter
otu3234,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Pajaroellobacter,Pajaroellobacter abortibovis
otu3235,Bacteria,Candidatus Beckwithbacteria,Unclassified.Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16,Unclassified.Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16,Unclassified.Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16,Unclassified.Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16,Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16
otu3236,Eukaryota,Unclassified.Oomycota,Oomycota,Saprolegniales,Saprolegniaceae,Thraustotheca,Thraustotheca clavata
otu3237,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces halstedii
otu3238,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,Unclassified.Thermodesulfobacterium
